"","timepoint","bw_date","ID","species","colony","coralID","colony_ID","home_reef","transplant_reef","collection_site","transplant_site","transplant","pale.or.bleached","partial.mortality","mortality","parent.colony.length","parent.colony.width","parent.colony.height","parent.colony.area","parent.colony.volume","bw","bw_sd","bw_se","surface.area","sa_sd","sa_se","chla","symb_den","symb_sd","symb_se","carbs_sa","carbs_dw","lipids_sa","lipids_dw","protein_dw","protein_sa","months","speciescolony","chlapercell","symb_mean","symblowerci","symbupperci"
"1","T1","3/8/2018","PSTR 1 1","PSTR","P1","1","NSP1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,18.82022827,0.011547005,0.008164966,21.6277762,0.064350232,0.037152624,19289.6,8862000,1628603.819,664874.725,NA,0.024177773,NA,0.033461586,0.017554791,0.672222222,3,"PSTR:P1",0.00217666440983977,0.00172207301278563,-0.000283247446015979,0.00378079436924813
"8","T1","3/7/2018","PSTR 1 8","PSTR","P1","8","NSP1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,17.49384211,0,0,18.00646789,0.182722251,0.105494741,12504.8381,4596428.571,551135.1921,225000,NA,0.021832602,NA,0.026047656,0.038483344,2.133333333,3,"PSTR:P1",0.00272055529784496,0.00163382971502067,-0.00031682283491773,0.00344254730478842
"15","T2","9/26/2018","PSTR 1 12","PSTR","P1","12","NSP1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,32.11912664,0.01,0.007071068,26.51838546,0.029379772,0.016962419,2864.477828,598642.5339,75421.86993,43544.83691,0.483388894,0.040004598,1.799292896,0.148906998,0.020458116,0.695652174,9,"PSTR:P1",0.00478495540458623,0.0078463772197804,0.00601722038714645,0.009783217251598
"23","T3","5/30/2019","PSTR P1 3","PSTR","P1","3","NSP1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,14,8,266,2128,42.3595092,11.54123188,8.160883326,38.06588179,0.461536692,0.266468334,17536,4557246.377,126186.8671,72854.02166,0.710992471,0.014468596,0.604664519,0.012304837,0.052670221,2.588235294,17,"PSTR:P1",0.0038479376687867,0.00192397034756552,0.000209936904609487,0.00362565930786754
"30","T3","5/31/2019","PSTR P1 11","PSTR","P1","11","NSP1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,14,8,266,2128,40.20052724,0,0,34.21791706,0.28458084,0.164302824,4369.386667,6125000,160390.1493,92601.29589,0.583375449,0.01304393,0.759602282,0.016984258,0.021499432,0.961538462,17,"PSTR:P1",0.000713369251755102,0.00089841943146062,-0.000767512727653527,0.00255349853610897
"44","T1","3/8/2018","PSTR 2 1","PSTR","P2","1","NSP2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,19,10,418,4180,17.31718039,0.005773503,0.004082483,19.0010463,0.388760194,0.224450803,3529.974026,4672889.61,484947.8621,197979.1357,NA,0.010000034,NA,0.022613471,0.055765088,2.132936508,3,"PSTR:P2",0.00075541566795112,0.00172207301278563,-0.000283247446015979,0.00378079436924813
"52","T1","3/7/2018","PSTR 2 9","PSTR","P2","9","NSP2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",22,19,10,418,4180,18.22192105,0,0,23.79918922,0.055220137,0.031881361,15347.74701,4644444.445,395653.2028,161524.7436,NA,0.018750621,NA,0.040294559,0.035610298,1.388888889,3,"PSTR:P2",0.00330453882950903,0.00163382971502067,-0.00031682283491773,0.00344254730478842
"58","T2","9/26/2018","PSTR 2 12","PSTR","P2","12","NSP2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",22,19,10,418,4180,32.58141981,0.01,0.007071068,26.37817148,0.066636435,0.038472564,11249.01926,785679.0124,187538.6259,76562.32344,1.213437238,0.152121566,13.95509037,1.749468484,0.035515221,0.868055556,9,"PSTR:P2",0.0143175763670176,0.0078463772197804,0.00601722038714645,0.009783217251598
"59","T2","9/24/2018","PSTR 2 2","PSTR","P2","2","NSP2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,19,10,418,4180,37.72904348,0.01,0.007071068,36.30716627,0.175243783,0.101177046,20547.23232,874074.0741,257483.9738,105117.3921,0.63543664,0.005710674,1.637781197,0.014718753,0.02944774,2.087719298,9,"PSTR:P2",0.0235074268060824,0.0128578178490606,0.0106214870124443,0.0148913760363917
"66","T3","5/30/2019","PSTR P2 3","PSTR","P2","3","NSP2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,19,10,418,4180,48.68080986,0.01,0.007071068,51.55212003,1.584454126,0.914785016,13152,3963750,81965.59873,47322.86049,0.72447935,0.009549856,1.406275031,0.018537069,0.067556116,5.125,17,"PSTR:P2",0.00331807000946074,0.00192397034756552,0.000209936904609487,0.00362565930786754
"73","T3","5/31/2019","PSTR P2 11","PSTR","P2","11","NSP2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",22,19,10,418,4180,20.00333333,0.011547005,0.008164966,25.95826828,0.494406167,0.285445534,3003.774163,3014354.067,60287.081,34806.76244,2.686111639,0.068570111,1.650734041,0.031630046,0.122319977,4.791666667,17,"PSTR:P2",0.000996490158831763,0.00089841943146062,-0.000767512727653527,0.00255349853610897
"87","T1","3/8/2018","PSTR 3 1","PSTR","P3","1","NSP3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,23,15,690,10350,18.27629597,0.005773503,0.004082483,26.45144006,0.186733498,0.107810636,12604,6375625,717517.748,292925.394,NA,0.013891772,NA,0.017982413,0.033474606,1.996527778,3,"PSTR:P3",0.00197690422507597,0.00172207301278563,-0.000283247446015979,0.00378079436924813
"93","T1","3/7/2018","PSTR 3 7","PSTR","P3","7","NSP3","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",30,23,15,690,10350,17.52957968,0.005773503,0.004082483,18.04824583,0.26394005,0.152385859,4658,4670572.917,453407.6884,185102.9137,NA,0.011287023,NA,0.022211884,0.04875121,2.801282051,3,"PSTR:P3",0.000997308056800861,0.00163382971502067,-0.00031682283491773,0.00344254730478842
"101","T2","9/26/2018","PSTR 3 12","PSTR","P3","12","NSP3","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",30,23,15,690,10350,25.64916885,0.005773503,0.004082483,27.16906045,0.150306367,0.086779422,6332.444444,1195833.333,211935.5248,86522.31568,0.586153848,0.014546884,3.158484725,0.078385752,0.048036168,1.4,9,"PSTR:P3",0.00529542392677224,0.0078463772197804,0.00601722038714645,0.009783217251598
"102","T2","9/24/2018","PSTR 3 2","PSTR","P3","2","NSP3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,23,15,690,10350,36.68769772,0.011547005,0.008164966,30.28660205,0.12223444,0.070572087,20141.34857,1458857.143,126857.143,73241.00566,0.745122458,0.012128918,6.038392952,0.098291461,0.046106247,0.890625,9,"PSTR:P3",0.013806251466529,0.0128578178490606,0.0106214870124443,0.0148913760363917
"109","T3","5/30/2019","PSTR P3 3","PSTR","P3","3","NSP3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,23,15,690,10350,47.62666667,0.005773503,0.004082483,32.90759524,0.308797903,0.178284552,935.2533333,3703333.333,67333.3335,38874.91822,0.851292169,0.013534344,2.108603659,0.033523821,0.061474541,3.866666667,17,"PSTR:P3",0.000252543654379167,0.00192397034756552,0.000209936904609487,0.00362565930786754
"116","T3","5/31/2019","PSTR P3 11","PSTR","P3","11","NSP3","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",30,23,15,690,10350,46.00964067,0.017320508,0.012247449,29.66494874,0.363949994,0.210126627,23.38133333,2701866.667,41548.6863,23988.14522,0.48725946,0.011979598,0.159163034,0.003913129,0.041907385,1.704545455,17,"PSTR:P3",8.65377023062404e-06,0.00089841943146062,-0.000767512727653527,0.00255349853610897
"136","T1","3/7/2018","PSTR 4 7","PSTR","P4","7","NSP4","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,18,10,342,3420,15.27646181,0.005773503,0.004082483,15.77549276,0.254752158,0.147081227,4407.725176,5926470.588,269563.2758,155632.4299,NA,0.037891936,NA,0.062137505,0.063243487,4.666666667,3,"PSTR:P4",0.000743735265458808,0.00163382971502067,-0.00031682283491773,0.00344254730478842
"145","T2","9/26/2018","PSTR 4 12","PSTR","P4","12","NSP4","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,18,10,342,3420,27.98545136,0.01,0.007071068,27.04246738,0.045429867,0.026228946,9469.44,1586666.667,78519.63661,45333.33333,0.876693228,0.020831564,3.016868945,0.071685394,0.055621421,0.864705882,9,"PSTR:P4",0.0059681344525277,0.0078463772197804,0.00601722038714645,0.009783217251598
"158","T3","5/30/2019","PSTR P4 6","PSTR","P4","6","NSP4","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,18,10,342,3420,49.43663453,0.02,0.014142136,58.25311931,1.400240336,0.808429135,3565.933014,3948803.828,79752.31199,46045.01879,1.567318296,0.015083462,6.290783448,0.060540855,0.062821627,6.527777778,17,"PSTR:P4",0.000903041318161931,0.00192397034756552,0.000209936904609487,0.00362565930786754
"162","T3","5/31/2019","PSTR P4 11","PSTR","P4","11","NSP4","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,18,10,342,3420,25.5524144,0.01,0.007071068,30.87847924,0.149716592,0.086438915,8517.485714,4903809.524,31341.87159,18095.238,0.795102138,0.015420313,1.58879132,0.030813223,0.045908807,2.367149758,17,"PSTR:P4",0.00173691202162607,0.00089841943146062,-0.000767512727653527,0.00255349853610897
"176","T1","3/8/2018","PSTR 5 1","PSTR","P5","1","NSP5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,13,9,247,2223,20.11257669,0.005773503,0.004082483,21.54909552,0.100448326,0.057993868,15383.85455,6586666.667,652107.4121,376494.3899,NA,0.018985414,NA,0.062349869,0.070808498,4.691876751,3,"PSTR:P5",0.0023356054477563,0.00172207301278563,-0.000283247446015979,0.00378079436924813
"191","T2","9/24/2018","PSTR 5 2","PSTR","P5","2","NSP5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,13,9,247,2223,36.720035,0.011547005,0.008164966,34.89096974,0.069558799,0.040159792,11690.66667,2342483.66,157905.0344,91166.5141,0.931063753,0.028137619,1.818006086,0.054941847,0.022218108,1.363636364,9,"PSTR:P5",0.00499071428741578,0.0128578178490606,0.0106214870124443,0.0148913760363917
"199","T3","5/30/2019","PSTR P5 3","PSTR","P5","3","NSP5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,13,9,247,2223,54.51795775,0.011547005,0.008164966,44.03151119,0.603315466,0.348324347,876.8,12666666.67,253333.335,146262.0692,1.585294269,0.019172627,3.703645015,0.044792064,0.082168392,6.794117647,17,"PSTR:P5",6.92210526133629e-05,0.00192397034756552,0.000209936904609487,0.00362565930786754
"208","T3","5/31/2019","PSTR P5 12","PSTR","P5","12","NSP5","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,13,9,247,2223,23.76084284,0,0,20.03536498,0.141744398,0.081836167,870.9546667,2600888.889,63754.15761,36808.48006,0.89151852,0.036492776,0.585263039,0.011156252,NA,NA,17,"PSTR:P5",0.000334868079287642,0.00089841943146062,-0.000767512727653527,0.00255349853610897
"228","T1","3/7/2018","PSTR 6 7","PSTR","P6","7","NSP6","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",20,18,15,360,5400,18.18265845,0.005773503,0.004082483,24.95794691,0.363857294,0.210073106,3531.112727,6086969.697,628829.6441,363054.9643,NA,0.07925894,NA,0.223395276,0.031794761,2.254428341,3,"PSTR:P6",0.000580110120926071,0.00163382971502067,-0.00031682283491773,0.00344254730478842
"237","T2","9/26/2018","PSTR 6 12","PSTR","P6","12","NSP6","NS","OS","False Caye","Silk Cayes","OS Transplant","Y","N","alive",20,18,15,360,5400,15.2562228,0.005773503,0.004082483,18.30209316,0.02590693,0.014957373,6172.672,689422.2222,112833.1971,65144.27672,1.014929518,0.013918124,0.410626051,0.005631075,0.026830272,1.736111111,9,"PSTR:P6",0.00895339865939123,0.0078463772197804,0.00601722038714645,0.009783217251598
"238","T2","9/24/2018","PSTR 6 2","PSTR","P6","2","NSP6","NS","NS","False Caye","False Caye","NS Native","N","N","alive",20,18,15,360,5400,27.29151356,0.011547005,0.008164966,30.24270743,0.121192571,0.069970564,11432.78431,1237745.098,49509.804,28584.49867,1.59746501,0.030370954,6.496078125,0.12350323,0.019834344,1.5625,9,"PSTR:P6",0.00923678415569859,0.0128578178490606,0.0106214870124443,0.0148913760363917
"246","T3","5/30/2019","PSTR P6 3","PSTR","P6","3","NSP6","NS","NS","False Caye","False Caye","NS Native","N","N","alive",20,18,15,360,5400,42.75166375,0.02081666,0.014719601,39.40232997,0.250566699,0.144664751,30927.12727,9466818.182,167479.4919,96694.32976,0.824165189,0.022946595,1.432562868,0.039885741,0.11136891,4,17,"PSTR:P6",0.00326689777657335,0.00192397034756552,0.000209936904609487,0.00362565930786754
"253","T3","5/31/2019","PSTR P6 11","PSTR","P6","11","NSP6","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",20,18,15,360,5400,17.41333333,0.015275252,0.010801234,29.45640549,0.128712549,0.074312225,5013.997037,3686666.667,123468.3943,71284.51066,1.06892806,0.042679634,0.922261546,0.010499905,0.016692102,0.418060201,17,"PSTR:P6",0.00136003536253526,0.00089841943146062,-0.000767512727653527,0.00255349853610897
"267","T1","3/6/2018","PSTR 1 14","PSTR","P1","14","OSP1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,19.66415425,0.005773503,0.004082483,30.07505409,0.184999167,0.106809319,9552.944762,6321269.842,900166.1055,367491.2737,NA,0.015406977,NA,0.034507264,0.022139033,1.666666667,3,"PSTR:P1",0.00151123824813299,0.00117741757886845,-0.000799884898359573,0.00335095369078863
"273","T1","3/9/2018","PSTR 1 20","PSTR","P1","20","OSP1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,10.87882662,0.005773503,0.004082483,16.79606301,0.055323428,0.031940996,13687.82222,4068055.555,300600.5821,122719.6738,NA,0.023674456,NA,0.045483108,0.044120032,1.851851852,3,"PSTR:P1",0.00336470877423895,0.00357205803070694,0.00165162542666022,0.00550809711051559
"279","T2","9/26/2018","PSTR 1 15","PSTR","P1","15","OSP1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,23.35423581,0.015275252,0.010801234,24.75210109,0.03585523,0.020701026,20564.94545,1721212.121,197189.6207,113847.4806,1.612605896,0.044624169,2.259534713,0.062526038,0.041006344,1.298701299,9,"PSTR:P1",0.0119479436608034,0.0118659247963937,0.00975317232794731,0.0139653894107777
"284","T2","9/25/2018","PSTR 1 21","PSTR","P1","21","OSP1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",20,16,14,320,4480,29.95294118,0.005773503,0.004082483,29.44166611,0.125461034,0.072434961,9742.222222,1151111.111,268350.2411,109553.5272,0.593359369,0.017788218,2.937045213,0.088049172,0.039809558,1.414285714,9,"PSTR:P1",0.00846332046394434,0.0093509535883351,0.00747316094606474,0.0113368229813411
"289","T3","5/31/2019","PSTR P1 16","PSTR","P1","16","OSP1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",20,16,14,320,4480,39.88498683,0.01,0.007071068,43.52751309,0.258128649,0.149030645,10605.10476,3302539.683,60518.51447,34940.38062,1.079902588,0.015108126,0.800155761,0.011194393,0.042361835,3.027950311,17,"PSTR:P1",0.00321119676913811,0.00142488927100479,-0.000281538797972729,0.00303023010683997
"293","T3","5/29/2019","PSTR P1 22","PSTR","P1","22","OSP1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","Y","alive",20,16,14,320,4480,19.8169163,0.01,0.007071068,19.4797569,0.080153478,0.046276632,13233.83467,14485333.33,281860.4856,162732.2272,0.604448862,0.011712254,0.651767513,0.012629136,0.058211663,3.004201681,17,"PSTR:P1",0.000913602356846834,0.00138495112608844,-0.000405303294594747,0.00317280422809859
"336","T3","5/31/2019","PSTR P2 16","PSTR","P2","16","OSP2","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",15,13,8,195,1560,27.59666667,0.005773503,0.004082483,36.05107194,0.131059087,0.075666999,5480,4166875,36875,21289.79118,1.54933049,0.019120062,0.563457418,0.006953546,0.056459409,4.575,17,"PSTR:P2",0.00131513424328784,0.00142488927100479,-0.000281538797972729,0.00303023010683997
"342","T3","5/29/2019","PSTR P2 22","PSTR","P2","22","OSP2","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",15,13,8,195,1560,38.03666667,0.005773503,0.004082483,26.14435119,0.178811674,0.103236968,10696.96,3640000,64156.05973,37040.51835,0.713387204,0.012955169,0.513976888,0.009333862,0.069916312,3.85,17,"PSTR:P2",0.00293872527472527,0.00138495112608844,-0.000405303294594747,0.00317280422809859
"364","T1","3/9/2018","PSTR 3 20","PSTR","P3","20","OSP3","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",10,8,8,80,640,7.16739245,0,0,9.820865809,0.20826624,0.12024257,7550.222222,3209555.555,393578.5488,176013.6779,NA,0.018722408,NA,0.041547414,0.042017418,2.179487179,3,"PSTR:P3",0.00235241985770831,0.00357205803070694,0.00165162542666022,0.00550809711051559
"376","T2","9/25/2018","PSTR 3 21","PSTR","P3","21","OSP3","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",10,8,8,80,640,7.819614711,0.011547005,0.008164966,10.67735066,0.081978788,0.047330475,6251.965217,578086.9565,96347.8261,55626.44333,1.452153139,0.019539343,1.398419263,0.018816331,0.062099322,1.904761905,9,"PSTR:P3",0.0108149217807166,0.0093509535883351,0.00747316094606474,0.0113368229813411
"383","T3","5/31/2019","PSTR P3 16","PSTR","P3","16","OSP3","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",10,8,8,80,640,22.18224956,0.005773503,0.004082483,24.47737709,0.134871442,0.077868063,110.7536842,3974736.842,77569.44904,44784.74228,0.6740638,0.006715197,0.59784502,0.005955886,0.029886772,3,17,"PSTR:P3",2.78644067777506e-05,0.00142488927100479,-0.000281538797972729,0.00303023010683997
"387","T3","5/29/2019","PSTR P3 22","PSTR","P3","22","OSP3","OS","NS","Silk Cayes","False Caye","NS Transplant","Y","N","alive",10,8,8,80,640,23.05977213,0.01,0.007071068,21.70459836,0.118237953,0.068264714,6444.995765,7150431.373,208434.6448,120339.7983,0.550019789,0.011232132,1.964047978,0.030178879,0.048366294,2.368421053,17,"PSTR:P3",0.000901343629327914,0.00138495112608844,-0.000405303294594747,0.00317280422809859
"403","T1","3/6/2018","PSTR 4 14","PSTR","P4","14","OSP4","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",26,13,13,338,4394,17.04167838,0.005773503,0.004082483,15.59566509,0.238331493,0.137600751,3033.484444,4956481.482,306398.0517,176898.9976,NA,0.017035311,NA,0.045754113,0.024342049,1.3671875,3,"PSTR:P4",0.000612023762222542,0.00117741757886845,-0.000799884898359573,0.00335095369078863
"409","T1","3/9/2018","PSTR 4 20","PSTR","P4","20","OSP4","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",26,13,13,338,4394,16.34354386,0.011547005,0.008164966,24.62548032,0.05503764,0.031775996,21509.7442,4785185.185,429970.065,248243.3328,NA,0.01446421,NA,0.015174869,0.040697747,2.583333333,3,"PSTR:P4",0.0044950703825269,0.00357205803070694,0.00165162542666022,0.00550809711051559
"415","T2","9/26/2018","PSTR 4 15","PSTR","P4","15","OSP4","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",26,13,13,338,4394,20.75641476,0.01,0.007071068,21.06898191,0.107527472,0.062081015,3631.191919,356902.3569,81776.6033,47213.74393,0.615890959,0.035392121,2.016020762,0.115850458,0.036783479,0.961538462,9,"PSTR:P4",0.0101741886787747,0.0118659247963937,0.00975317232794731,0.0139653894107777
"420","T2","9/25/2018","PSTR 4 21","PSTR","P4","21","OSP4","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",26,13,13,338,4394,22.91373239,0.005773503,0.004082483,23.2267468,0.029768336,0.017186757,10260.27922,1066666.667,106666.6665,61584.02862,0.731655244,0.01151817,1.522372727,0.023966135,0.087301587,1.458333333,9,"PSTR:P4",0.00961901176574406,0.0093509535883351,0.00747316094606474,0.0113368229813411
"425","T3","5/31/2019","PSTR P4 16","PSTR","P4","16","OSP4","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",26,13,13,338,4394,29.85905097,0.005773503,0.004082483,38.02209149,0.101965097,0.058869576,6480.695652,4883091.787,84124.57778,48569.34763,1.361079904,0.014377402,1.798049465,0.018993213,0.05154857,4.88,17,"PSTR:P4",0.00132717055805775,0.00142488927100479,-0.000281538797972729,0.00303023010683997
"429","T3","5/29/2019","PSTR P4 22","PSTR","P4","22","OSP4","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",26,13,13,338,4394,22.76660808,0.005773503,0.004082483,20.85224473,0.219155342,0.126529396,2995.402715,2622624.434,85520.362,49375.20402,0.420187794,0.010651667,0.231344195,0.005864524,0.053255833,2.100840336,17,"PSTR:P4",0.00114213940668258,0.00138495112608844,-0.000405303294594747,0.00317280422809859
"446","T1","3/6/2018","PSTR 5 14","PSTR","P5","14","OSP5","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,17,13,323,4199,17.03348472,0.011547005,0.008164966,32.59783056,0.431139293,0.248918387,1130.097778,4119753.087,289657.4139,167233.7859,NA,0.034557327,NA,0.08306774,0.024503577,1.367521368,3,"PSTR:P5",0.000274312016796846,0.00117741757886845,-0.000799884898359573,0.00335095369078863
"452","T1","3/9/2018","PSTR 5 20","PSTR","P5","20","OSP5","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,17,13,323,4199,14.89666667,0.005773503,0.004082483,22.77938704,0.192493543,0.111136199,29387.78531,6684545.455,857627.5819,428813.7909,NA,0.027009251,NA,0.08469031,0.053765073,2.582644628,3,"PSTR:P5",0.00439637751105696,0.00357205803070694,0.00165162542666022,0.00550809711051559
"458","T2","9/26/2018","PSTR 5 15","PSTR","P5","15","OSP5","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,17,13,323,4199,21.68943662,0.015275252,0.010801234,20.14444189,0.103265967,0.059620634,11495.82222,613611.111,368805.0021,150564.0116,0.84532756,0.024472692,3.101522352,0.089790756,0.023299318,0.41025641,9,"PSTR:P5",0.018734703485511,0.0118659247963937,0.00975317232794731,0.0139653894107777
