"","timepoint","bw_date","ID","species","colony","coralID","colony_ID","home_reef","transplant_reef","collection_site","transplant_site","transplant","pale.or.bleached","partial.mortality","mortality","parent.colony.length","parent.colony.width","parent.colony.height","parent.colony.area","parent.colony.volume","bw","bw_sd","bw_se","surface.area","sa_sd","sa_se","chla","carbs_sa","carbs_dw","lipids_sa","lipids_dw","protein_dw","protein_sa","months","speciescolony","prot_mean","protlowerci","protupperci"
"463","T2","9/25/2018","PSTR 5 21","PSTR","P5","21","OSP5","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,17,13,323,4199,22.76986784,0.01,0.007071068,25.52979367,0.092662977,0.053498995,4926.021818,1.187180219,0.047251809,0.024463963,0.000973708,0.016223653,1.26953125,9,"PSTR:P5",0.0457714487019613,-0.0304305378392693,0.127714919518217
"468","T3","5/31/2019","PSTR P5 16","PSTR","P5","16","OSP5","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,17,13,323,4199,42.82333333,0.005773503,0.004082483,45.17950472,0.252292792,0.145661311,10381.312,1.10108108,0.018436551,1.595886622,0.026721597,0.044238527,2.642045455,17,"PSTR:P5",0.0432275126960377,-0.027762553958014,0.110012192935561
"472","T3","5/29/2019","PSTR P5 22","PSTR","P5","22","OSP5","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,17,13,323,4199,46.02036874,0,0,41.04942185,0.202426305,0.116870882,801.6457143,1.105970685,0.016247566,0.274302418,0.004029715,0.054431203,3.705128205,17,"PSTR:P5",0.0586230040216308,-0.0158543694829913,0.13300047892768
"489","T1","3/6/2018","PSTR 6 14","PSTR","P6","14","OSP6","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,12,11.5,228,2622,14.00768014,0.01,0.007071068,13.48032075,0.275481921,0.159049562,8711.064935,NA,0.171302131,NA,0.178109554,0.00431987,0.277777778,3,"PSTR:P6",0.0174640659586696,-0.0659992593236258,0.106350733581821
"495","T1","3/9/2018","PSTR 6 20","PSTR","P6","20","OSP6","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,12,11.5,228,2622,21.11524059,0.005773503,0.004082483,31.04190093,0.121247236,0.070002124,12492.48108,NA,0.047833674,NA,0.066661594,0.02229809,1.483134921,3,"PSTR:P6",0.0387434656273042,-0.0389197861074728,0.120378420980944
"501","T2","9/26/2018","PSTR 6 15","PSTR","P6","15","OSP6","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,12,11.5,228,2622,49.55930131,0.011547005,0.008164966,40.31544748,0.058876421,0.033992317,12027.89744,1.000840219,0.065317028,NA,NA,0.018596522,2.309027778,9,"PSTR:P6",0.0281536529720741,-0.0593685380451568,0.114221358377399
"506","T2","9/25/2018","PSTR 6 21","PSTR","P6","21","OSP6","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,12,11.5,228,2622,17.61153846,0.005773503,0.004082483,20.82433621,0.014439006,0.008336364,29226.66667,0.597023522,0.0218119,NA,NA,0.030008439,0.939814815,9,"PSTR:P6",0.0457714487019613,-0.0304305378392693,0.127714919518217
"511","T3","5/31/2019","PSTR P6 16","PSTR","P6","16","OSP6","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",19,12,11.5,228,2622,15.09009641,0.005773503,0.004082483,18.5430893,0.276770565,0.15979356,3844.075789,1.307197244,0.040717018,1.919764854,0.059797479,0.041531114,1.333333333,17,"PSTR:P6",0.0432275126960377,-0.027762553958014,0.110012192935561
"515","T3","5/29/2019","PSTR P6 22","PSTR","P6","22","OSP6","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",19,12,11.5,228,2622,32.15333333,0.015275252,0.010801234,23.31771006,0.200019505,0.115481315,19823.30435,0.659477016,0.01609588,0.57927282,0.014138333,0.072321419,2.963137996,17,"PSTR:P6",0.0586230040216308,-0.0158543694829913,0.13300047892768
"545","T1","3/8/2018","SSID 1 1","SSID","S1","1","NSS1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,18,15,396,5940,30.07333333,0.005773503,0.004082483,23.7442567,0.247820756,0.14307938,4630.6,NA,0.018836593,NA,0.007599249,0.036944409,2.541666667,3,"SSID:S1",0.0393166049067138,-0.0467340869049362,0.126393820338618
"559","T2","9/26/2018","SSID 1 12","SSID","S1","12","NSS1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",22,18,15,396,5940,34.25319335,0.02081666,0.014719601,14.33381233,0.163078491,0.09415341,5900.864,1.917261684,0.03245849,0.566685134,0.009593757,0.112560157,4.536231884,9,"SSID:S1",0.127715689092759,0.0515224519759136,0.203089622775878
"560","T2","9/24/2018","SSID 1 2","SSID","S1","2","NSS1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,18,15,396,5940,21.87333333,0.005773503,0.004082483,18.79954531,0.110978459,0.064073443,3583.443478,1.479601521,0.035660798,3.870663372,0.09328927,0.084882102,4.658703704,9,"SSID:S1",0.140545553063975,0.0537095475981483,0.221876123681182
"568","T3","5/30/2019","SSID S1 3","SSID","S1","3","NSS1","NS","NS","False Caye","False Caye","NS Native","N","N","alive",22,18,15,396,5940,31.59104478,0.005773503,0.004082483,17.29494176,0.203593622,0.117544833,4296.32,1.510889439,0.027245051,0.282691595,0.005097624,0.018032458,1,17,"SSID:S1",0.0250230565653424,-0.0447797021068659,0.0933033968998442
"572","T3","5/31/2019","SSID S1 7","SSID","S1","7","NSS1","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",22,18,15,396,5940,24.00105356,0.02,0.014142136,16.75578782,0.31732242,0.183206185,1539.271111,2.229272086,0.021844439,0.725755761,0.007111616,0.013771618,1.40542328,17,"SSID:S1",0.0191976963419355,-0.0595276688723579,0.0988532243958673
"587","T1","3/8/2018","SSID 2 1","SSID","S2","1","NSS2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",23,21,15,483,7245,30.25677788,0,0,25.71014441,0.219268043,0.126594464,3586.909091,NA,0.032082411,NA,0.037775798,0.031609131,2.046783626,3,"SSID:S2",0.0393166049067138,-0.0467340869049362,0.126393820338618
"601","T2","9/26/2018","SSID 2 12","SSID","S2","12","NSS2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",23,21,15,483,7245,25.18124452,0.005773503,0.004082483,17.88766047,0.07588832,0.043814142,2946.331984,1.31341048,0.022259404,1.007175407,0.017069396,0.14152276,4.34169279,9,"SSID:S2",0.127715689092759,0.0515224519759136,0.203089622775878
"602","T2","9/24/2018","SSID 2 2","SSID","S2","2","NSS2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",23,21,15,483,7245,24.4338326,0.015275252,0.010801234,24.84455297,0.049809463,0.028757507,7509.534118,0.882486875,0.021691688,1.954187287,0.048034279,0.184028692,2.770526316,9,"SSID:S2",0.140545553063975,0.0537095475981483,0.221876123681182
"610","T3","5/30/2019","SSID S2 3","SSID","S2","3","NSS2","NS","NS","False Caye","False Caye","NS Native","N","N","alive",23,21,15,483,7245,39.53666667,0.02081666,0.014719601,31.38986692,0.486770977,0.281037355,4066.16,1.015588767,0.020047812,0.292218672,0.005768423,0.009870044,0.5,17,"SSID:S2",0.0250230565653424,-0.0447797021068659,0.0933033968998442
"615","T3","5/31/2019","SSID S2 8","SSID","S2","8","NSS2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",23,21,15,483,7245,44.59244952,0.015275252,0.010801234,30.85787547,0.060953882,0.03519174,1117.92,1.076557522,0.03618213,0.454280853,0.015267971,0.021966732,0.653594771,17,"SSID:S2",0.0191976963419355,-0.0595276688723579,0.0988532243958673
"616","T3","5/31/2019","SSID S2 9","SSID","S2","9","NSS2","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",23,21,15,483,7245,32.75539947,0.02081666,0.014719601,25.37711402,0.148653662,0.085825232,2004.114286,1.500553408,0.0369692,1.590867124,0.039194263,0.018323801,0.74375,17,"SSID:S2",0.0191976963419355,-0.0595276688723579,0.0988532243958673
"632","T1","3/8/2018","SSID 3 1","SSID","S3","1","NSS3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",26,15,9,390,3510,32.45436842,0,0,23.79647896,0.077639602,0.044825245,1985.480992,NA,0.032516565,NA,0.056888562,0.033326789,2.233379501,3,"SSID:S3",0.0393166049067138,-0.0467340869049362,0.126393820338618
"638","T1","3/7/2018","SSID 3 7","SSID","S3","7","NSS3","NS","OS","False Caye","Silk Cayes","OS Transplant","Y","Y","alive",26,15,9,390,3510,23.32460999,0.005773503,0.004082483,18.58700664,0.173113091,0.09994689,1698.18624,NA,0.038612936,NA,0.046885064,0.029457874,2.083333333,3,"SSID:S3",0.0919642428790704,0.00535113971619817,0.174476236433422
"646","T2","9/26/2018","SSID 3 12","SSID","S3","12","NSS3","NS","OS","False Caye","Silk Cayes","OS Transplant","Y","N","alive",26,15,9,390,3510,31.46906223,0.005773503,0.004082483,22.79991918,0.074775219,0.043171493,3432.045714,2.375377667,0.054242687,NA,NA,0.140927156,4.91873706,9,"SSID:S3",0.127715689092759,0.0515224519759136,0.203089622775878
"647","T2","9/24/2018","SSID 3 2","SSID","S3","2","NSS3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",26,15,9,390,3510,31.97252843,0.011547005,0.008164966,21.98787061,0.203688848,0.117599811,7434.946606,0.846838254,0.029630914,0.866475979,0.030318039,0.129084867,2.014355742,9,"SSID:S3",0.140545553063975,0.0537095475981483,0.221876123681182
"655","T3","5/30/2019","SSID S3 3","SSID","S3","3","NSS3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",26,15,9,390,3510,65.64333333,0.005773503,0.004082483,49.98054827,0.174067474,0.100497903,2214.731852,2.180300795,0.02696214,0.438056141,0.005417111,0.028090572,2.271551724,17,"SSID:S3",0.0250230565653424,-0.0447797021068659,0.0933033968998442
"680","T1","3/7/2018","SSID 4 8","SSID","S4","8","NSS4","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",20,18,17,360,6120,11.21374561,0.005773503,0.004082483,13.2702863,0.347886669,0.200852462,1000.349091,NA,0.031007162,NA,0.043719427,0.044844149,2.592592593,3,"SSID:S4",0.0919642428790704,0.00535113971619817,0.174476236433422
"700","T3","5/30/2019","SSID S4 5","SSID","S4","5","NSS4","NS","NS","False Caye","False Caye","NS Native","N","N","alive",20,18,17,360,6120,26.82333333,0.011547005,0.008164966,26.87185768,0.319707703,0.184583328,344.8746667,3.485080034,0.034520678,3.127907469,0.030982786,0.034647655,3.49789916,17,"SSID:S4",0.0250230565653424,-0.0447797021068659,0.0933033968998442
"718","T1","3/8/2018","SSID 5 1","SSID","S5","1","NSS5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,22,17,660,11220,26.16666667,0.005773503,0.004082483,25.26782373,0.109081689,0.062978343,2118.933333,NA,0.043739545,NA,0.065808503,0.054040308,3.921568627,3,"SSID:S5",0.0393166049067138,-0.0467340869049362,0.126393820338618
"727","T1","3/7/2018","SSID 5 10","SSID","S5","10","NSS5","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",30,22,17,660,11220,24.97742982,0.005773503,0.004082483,18.92757845,0.25834532,0.14915574,1793.393231,NA,0.026273718,NA,0.041367324,0.045379359,3.277777778,3,"SSID:S5",0.0919642428790704,0.00535113971619817,0.174476236433422
"731","T2","9/26/2018","SSID 5 12","SSID","S5","12","NSS5","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",30,22,17,660,11220,16.94666667,0.011547005,0.008164966,14.76764746,0.049655546,0.028668643,4649.69697,2.788747037,0.050088921,2.304782619,0.041396395,0.229207885,8.05,9,"SSID:S5",0.127715689092759,0.0515224519759136,0.203089622775878
"732","T2","9/24/2018","SSID 5 2","SSID","S5","2","NSS5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,22,17,660,11220,29.7943958,0.005773503,0.004082483,21.97686104,0.089098576,0.051441087,5216.96,1.814895997,0.049543872,1.109785373,0.030295435,0.166226234,5.605785124,9,"SSID:S5",0.140545553063975,0.0537095475981483,0.221876123681182
"740","T3","5/30/2019","SSID S5 3","SSID","S5","3","NSS5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,22,17,660,11220,21.33666667,0.011547005,0.008164966,34.29888664,0.123042882,0.071038841,2360.40127,2.176501783,0.036199832,1.190907463,0.019807312,0.034710505,2.086956522,17,"SSID:S5",0.0250230565653424,-0.0447797021068659,0.0933033968998442
"746","T3","5/31/2019","SSID S5 11","SSID","S5","11","NSS5","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",30,22,17,660,11220,12.68112379,0,0,16.27161334,0.051845656,0.029933104,1841.28,1.656374217,0.029182069,0.72439451,0.012762412,0.020682048,1.173913043,17,"SSID:S5",0.0191976963419355,-0.0595276688723579,0.0988532243958673
"766","T1","3/7/2018","SSID 6 7","SSID","S6","7","NSS6","NS","OS","False Caye","Silk Cayes","OS Transplant","Y","N","alive",35,20,18,700,12600,25.53524934,0,0,26.866438,0.196543403,0.113474387,2112.290909,NA,0.100539158,NA,0.126894932,0.256371327,10.41666667,3,"SSID:S6",0.0919642428790704,0.00535113971619817,0.174476236433422
"781","T2","9/26/2018","SSID 6 8","SSID","S6","8","NSS6","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",35,20,18,700,12600,19.72143482,0.005773503,0.004082483,18.3981769,0.157069874,0.090684334,2613.699048,1.809994947,0.150895786,NA,NA,0.010289539,3.103090278,9,"SSID:S6",0.127715689092759,0.0515224519759136,0.203089622775878
"786","T3","5/30/2019","SSID S6 4","SSID","S6","4","NSS6","NS","NS","False Caye","False Caye","NS Native","N","N","alive",35,20,18,700,12600,21.73093777,0,0,14.16873608,0.421189747,0.243174014,4348.268339,2.006438949,0.031893298,0.412551813,0.006557707,0.020786389,1.307692308,17,"SSID:S6",0.0250230565653424,-0.0447797021068659,0.0933033968998442
"790","T3","5/31/2019","SSID S6 11","SSID","S6","11","NSS6","NS","OS","False Caye","Silk Cayes","OS Transplant","N","Y","alive",35,20,18,700,12600,16.56119403,0.005773503,0.004082483,11.49139798,0.094718543,0.054685776,2031.949206,1.11317791,0.050041878,0.18114572,0.008143237,0.020806157,0.462831439,17,"SSID:S6",0.0191976963419355,-0.0595276688723579,0.0988532243958673
"804","T1","3/6/2018","SSID 1 14","SSID","S1","14","OSS1","OS","OS","Silk Cayes","Silk Cayes","OS Native","Y","N","alive",18,14,9,252,2268,22.82628722,0.005773503,0.004082483,21.26683737,0.290139601,0.167512177,552.5129412,NA,0.028337648,NA,0.016757788,0.018904631,1.114081996,3,"SSID:S1",0.0928376001498973,0.0117103681783558,0.171444366117291
"810","T1","3/9/2018","SSID 1 20","SSID","S1","20","OSS1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",18,14,9,252,2268,12.80333333,0.005773503,0.004082483,14.58922358,0.067927801,0.039218134,4344.049564,NA,0.039643893,NA,0.023621575,0.031173722,1.822612086,3,"SSID:S1",0.0209800082119547,-0.0545602544517397,0.0964759133796395
"816","T2","9/26/2018","SSID 1 15","SSID","S1","15","OSS1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",18,14,9,252,2268,13.59947461,0.005773503,0.004082483,15.78762013,0.041895864,0.024188588,2453.822222,1.813996144,0.040606611,1.356764252,0.030371398,0.113322344,4.015767974,9,"SSID:S1",0.193047165230291,0.113454718593435,0.26857497118777
"821","T2","9/25/2018","SSID 1 21","SSID","S1","21","OSS1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",18,14,9,252,2268,33.71581722,0.011547005,0.008164966,30.36508786,0.100255873,0.057882755,4355.346405,1.374657626,0.025280777,1.426516497,0.026234492,0.075025592,4.397333333,9,"SSID:S1",0.129316706012672,0.051088600925654,0.205605107297103
"826","T3","5/31/2019","SSID S1 16","SSID","S1","16","OSS1","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",18,14,9,252,2268,22.27954346,0,0,16.8705172,0.177963178,0.102747089,1697.930159,1.224564722,0.030016215,0.25508622,0.006252608,0.016312792,0.665509259,17,"SSID:S1",0.018282613812905,-0.0552428688510355,0.088539046464186
"830","T3","5/29/2019","SSID S1 22","SSID","S1","22","OSS1","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",18,14,9,252,2268,31.55869947,0.005773503,0.004082483,1.375964897,0.017591082,0.010156216,4034.550725,1.637942617,0.021180715,1.027126081,0.013282068,0.029334877,2.268518519,17,"SSID:S1",0.0303053672958371,-0.0410856516886069,0.101445584525726
"846","T1","3/6/2018","SSID 2 14","SSID","S2","14","OSS2","OS","OS","Silk Cayes","Silk Cayes","OS Native","Y","N","alive",13,10,14,130,1820,27.1671979,0.005773503,0.004082483,21.61660027,0.124840962,0.072076963,378.7537415,NA,0.039715524,NA,0.060307141,0.01770334,2.5390625,3,"SSID:S2",0.0928376001498973,0.0117103681783558,0.171444366117291
"858","T2","9/26/2018","SSID 2 15","SSID","S2","15","OSS2","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",13,10,14,130,1820,31.52394366,0.005773503,0.004082483,21.46554475,0.036441579,0.021039556,3687.174737,0.649985889,0.016099074,1.704211708,0.0422105,0.167112831,5.120909091,9,"SSID:S2",0.193047165230291,0.113454718593435,0.26857497118777
"869","T3","5/31/2019","SSID S2 16","SSID","S2","16","OSS2","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",13,10,14,130,1820,32.04143986,0.005773503,0.004082483,35.97528099,0.283443218,0.163646018,951.9542857,1.767956537,0.027814755,1.070239985,0.01683778,0.019423104,1.234567901,17,"SSID:S2",0.018282613812905,-0.0552428688510355,0.088539046464186
"875","T3","5/29/2019","SSID S2 22","SSID","S2","22","OSS2","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",13,10,14,130,1820,53.61666667,0.005773503,0.004082483,29.8305141,0.481925896,0.278240046,4252.319414,1.83861653,0.033440451,0.282490256,0.005137886,0.034298177,1.885775862,17,"SSID:S2",0.0303053672958371,-0.0410856516886069,0.101445584525726
"892","T1","3/6/2018","SSID 3 14","SSID","S3","14","OSS3","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","Y","alive",25,21,13,525,6825,14.89094654,0.005773503,0.004082483,14.10209228,0.236899519,0.136774001,610.0022857,NA,0.012306993,NA,0.013952452,0.200546576,16.65674603,3,"SSID:S3",0.0928376001498973,0.0117103681783558,0.171444366117291
"898","T1","3/9/2018","SSID 3 20","SSID","S3","20","OSS3","OS","NS","Silk Cayes","False Caye","NS Transplant","N","Y","alive",25,21,13,525,6825,14.96717544,0.005773503,0.004082483,15.59612654,0.217172538,0.125384623,681.9555556,NA,0.032694015,NA,0.023061268,0.008692908,0.532407407,3,"SSID:S3",0.0209800082119547,-0.0545602544517397,0.0964759133796395
"904","T2","9/26/2018","SSID 3 15","SSID","S3","15","OSS3","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",25,21,13,525,6825,14.45333333,0.005773503,0.004082483,10.1276444,0.053730141,0.031021111,5201.855462,2.514702875,0.053723401,NA,NA,0.251887451,8.372,9,"SSID:S3",0.193047165230291,0.113454718593435,0.26857497118777
"909","T2","9/25/2018","SSID 3 21","SSID","S3","21","OSS3","OS","NS","Silk Cayes","False Caye","NS Transplant","N","N","alive",25,21,13,525,6825,17.83128295,0.01,0.007071068,20.64944691,0.05857256,0.033816883,3888.936054,0.914257944,0.021376939,0.484224803,0.011322017,0.213154821,7.098055556,9,"SSID:S3",0.129316706012672,0.051088600925654,0.205605107297103
"914","T3","5/31/2019","SSID S3 16","SSID","S3","16","OSS3","OS","OS","Silk Cayes","Silk Cayes","OS Native","N","N","alive",25,21,13,525,6825,14.96312555,2.17558e-15,1.53837e-15,14.67041318,0.305209197,0.176212612,1275.345455,3.469329386,0.051884825,2.704755413,0.0404504,0.016616988,1.111111111,17,"SSID:S3",0.018282613812905,-0.0552428688510355,0.088539046464186
